FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y,Behavior,Fish0_moving_distance,Fish1_moving_distance,Fish0_moving_direction,Fish1_moving_direction
12177,401,843,641,826,0,5.39,7.81,0,0
12178,399,838,635,821,0,11.05,7.62,0,0
12179,398,827,628,818,0,13.15,9.06,0,0
12180,400,814,619,817,0,14.32,12.65,0,0
12181,403,800,607,813,0,9.22,17.46,0,0
12182,405,791,590,809,0,10.2,20.4,0,0
12183,407,781,570,805,0,16.55,23.09,0,0
12184,414,766,547,803,0,21.63,21.1,0,0
12185,426,748,526,801,0,24.76,19.1,0,0
12186,443,730,507,799,0,20.0,17.03,0,0
12187,459,718,490,800,0,15.81,12.04,0,0
12188,472,709,478,801,0,9.22,11.18,0,0
12189,481,707,467,803,0,4.12,15.13,0,0
12190,482,711,452,805,0,8.94,10.63,0,0
12191,478,719,444,812,0,10.63,9.22,0,0
12192,471,727,446,821,0,15.81,19.72,0,0
12193,462,740,463,831,0,15.81,21.93,0,0
12194,457,755,483,840,0,15.13,32.76,0,0
12195,455,770,511,857,0,10.2,35.36,0,0
12196,457,780,542,874,0,8.54,36.67,0,0
12197,460,788,575,890,0,8.6,28.86,0,0
12198,465,795,603,897,0,9.22,29.27,0,0
12199,471,802,632,901,0,8.49,25.18,0,0
12200,477,808,657,904,0,8.06,22.2,0,0
12201,481,815,679,907,0,8.06,23.02,0,0
12202,485,822,702,908,0,6.71,27.0,0,0
12203,488,828,729,908,0,7.07,25.32,0,0
12204,489,835,754,912,0,6.08,19.31,0,0
12205,490,841,772,919,0,7.07,11.66,0,0
12206,491,848,782,925,0,6.08,21.02,0,0
12207,492,854,803,924,0,5.1,28.16,0,0
12208,493,859,830,916,0,5.1,20.25,0,0
12209,494,864,847,905,2,5.1,15.52,0,0
12210,495,869,843,890,2,6.4,20.25,0,0
12211,499,874,826,879,2,7.62,21.1,0,0
12212,506,877,808,868,2,9.06,22.83,0,0
12213,515,878,788,857,2,9.06,24.6,0,0
12214,524,877,766,846,2,10.05,23.41,0,0
12215,534,878,744,838,2,10.2,19.24,0,0
12216,544,880,725,835,2,13.34,20.02,0,0
12217,557,883,705,834,2,12.65,19.0,0,0
12218,569,887,686,834,2,16.76,16.03,0,0
12219,585,892,670,833,2,19.92,13.0,0,0
12220,604,898,657,833,2,28.28,12.04,0,0
12221,632,902,645,832,2,31.06,10.0,0,0
12222,663,904,635,832,2,32.02,9.0,0,0
12223,695,903,626,832,2,27.02,10.05,0,0
12224,722,902,616,831,2,22.02,13.04,0,0
12225,744,901,603,830,2,18.0,13.04,0,0
12226,762,901,590,831,2,23.54,12.04,0,0
12227,785,896,578,832,2,22.85,7.28,0,0
12228,806,887,571,834,2,21.95,4.47,0,0
12229,825,876,567,836,2,13.04,3.61,0,0
12230,832,865,565,839,2,9.43,4.12,0,0
12231,837,857,564,843,2,10.77,4.12,0,0
12232,841,847,565,847,2,8.49,7.21,0,0
12233,847,841,571,851,2,8.6,11.4,0,0
12234,854,836,582,854,2,10.0,16.28,0,0
12235,862,830,598,857,2,10.82,18.11,0,0
12236,871,824,616,859,2,9.43,19.24,0,0
12237,879,819,635,862,2,9.43,18.25,0,0
12238,887,814,653,865,2,12.08,21.1,0,0
12239,898,809,674,867,2,13.42,23.02,0,0
12240,910,803,697,868,0,13.0,26.17,0,0
12241,922,798,723,865,0,13.04,26.68,0,0
12242,933,791,749,859,5,8.6,26.25,0,0
12243,940,786,774,851,5,6.71,23.41,0,0
12244,943,780,796,843,5,6.4,19.7,0,0
12245,938,776,814,835,5,10.63,15.26,0,0
