VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-22_2nd,chase,13685,13742,1,737.84,37.41,39.94,2.0,0.0,121.4,91.41,2094.82,2236.84,-142.02,646,62,369,181,0.68,177.57,0.0,57.62
1-22_2nd,chase,16117,16140,1,673.2,29.81,24.56,9.43,11.0,47.3,57.87,655.92,540.41,115.51,645,-41,533,-38,0.91,90.0,0.0,14.91
1-22_2nd,chase,16372,16388,1,268.32,36.84,33.04,9.22,11.0,121.0,135.44,552.54,495.62,56.92,346,10,389,-84,0.5,157.47,0.0,85.48
1-22_2nd,chase,15150,15165,1,2167.36,51.06,23.84,16.64,11.0,77.9,49.52,714.86,333.71,381.15,-571,83,302,32,0.0,177.44,98.15,139.75
1-22_2nd,display,2790,2817,2,594.42,14.41,26.98,0.0,4.0,28.64,64.26,374.77,701.43,-326.66,-48,-64,-287,18,0.19,176.29,9.46,126.54
1-22_2nd,display,10060,10083,2,725.97,25.12,26.87,0.0,2.0,60.3,54.15,552.53,591.2,-38.67,-120,128,-95,28,0.04,180.0,87.51,145.43
1-22_2nd,display,9188,9255,2,1504.45,20.51,16.73,1.0,0.0,70.61,78.85,1353.75,1103.92,249.83,269,-147,-138,-58,0.21,180.0,0.0,121.61
1-22_2nd,display,1956,2010,2,599.86,23.0,16.37,7.62,0.0,78.39,49.24,1219.25,867.42,351.83,-507,32,-254,-1,0.2,177.71,3.44,122.43
1-22_2nd,display,1700,1758,2,968.94,25.51,9.19,0.0,0.0,93.74,32.25,1454.11,524.07,930.04,-245,-13,-199,121,0.48,180.0,0.0,81.05
1-22_2nd,display,1420,1495,2,679.28,11.0,12.53,0.0,0.0,80.1,62.65,813.84,927.32,-113.48,-87,78,128,-18,0.2,180.0,0.0,112.66
1-22_2nd,display,1215,1280,2,935.71,11.98,21.41,0.0,0.0,38.47,53.0,766.58,1370.11,-603.53,-290,19,-80,-163,0.38,180.0,0.0,96.08
1-22_2nd,display,850,905,2,602.58,14.53,13.28,0.0,0.0,71.57,54.12,784.42,717.36,67.06,-32,47,21,-6,0.27,180.0,0.0,87.42
1-22_2nd,display,1794,1851,2,864.02,9.27,9.5,0.0,0.0,28.46,29.0,519.21,531.74,-12.53,68,70,-114,-43,0.28,180.0,11.3,98.97
1-22_2nd,normal,11453,11525,3,1682.09,22.77,18.2,4.0,6.4,45.0,38.83,1616.75,1292.16,324.59,-513,178,43,-25,0.29,180.0,2.14,125.45
1-22_2nd,normal,15253,15294,3,1415.49,18.55,9.07,2.0,2.0,44.72,22.83,742.04,362.87,379.17,534,3,21,17,0.46,180.0,2.14,95.66
