VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-22_2nd,normal,11305,11376,3,2442.81,22.25,16.62,3.16,6.32,36.22,32.31,1557.71,1163.2,394.51,1122,-289,578,104,0.52,178.85,0.0,84.71
1-22_2nd,normal,10855,10892,3,1440.65,21.17,21.86,9.22,2.24,31.3,51.2,762.06,787.06,-25.0,81,-120,244,-86,0.16,178.85,15.25,139.45
1-22_2nd,normal,10420,10505,3,2809.15,12.74,25.65,0.0,3.61,36.14,53.15,1069.77,2154.53,-1084.76,-582,36,287,-174,0.16,180.0,1.15,126.76
1-22_2nd,normal,10341,10389,3,2516.86,21.32,11.58,2.0,2.0,42.05,25.3,1001.82,544.04,457.78,-50,12,117,132,0.62,180.0,2.69,89.88
1-22_2nd,normal,9644,9689,3,3121.61,16.43,19.86,1.0,5.39,42.11,35.01,722.84,873.89,-151.05,44,26,-518,-53,0.2,180.0,5.73,132.35
1-22_2nd,normal,9041,9076,3,2650.37,28.26,16.57,7.07,9.22,48.17,31.89,960.67,563.51,397.16,-739,101,47,131,0.43,180.0,5.9,97.81
1-22_2nd,normal,10898,10958,3,2650.87,22.12,18.84,1.0,6.08,38.12,35.36,1305.29,1111.49,193.8,1029,-83,13,152,0.6,178.02,1.4,72.4
1-22_2nd,normal,15183,15225,3,2478.9,25.7,11.48,7.21,5.0,42.3,39.45,1053.63,470.8,582.83,363,-233,7,-56,0.98,63.44,0.0,20.8
1-22_2nd,normal,14801,14869,3,2057.68,17.79,18.71,3.61,8.54,43.42,33.6,1192.03,1253.38,-61.35,-76,59,197,63,0.18,180.0,4.8,136.85
1-22_2nd,normal,14507,14573,3,6789.6,10.86,18.78,0.0,4.24,24.6,31.14,705.95,1220.47,-514.52,-123,92,534,-335,0.58,180.0,1.62,79.59
1-22_2nd,normal,14390,14465,3,1571.05,18.56,24.37,7.81,2.24,40.26,45.71,1373.58,1803.13,-429.55,-80,-216,26,26,0.27,180.0,3.97,124.64
1-22_2nd,normal,12011,12114,3,2503.64,21.15,17.72,5.1,2.83,31.26,33.06,2157.55,1807.63,349.92,-82,135,303,67,0.5,178.38,0.0,90.89
1-22_2nd,normal,13577,13626,3,2431.01,7.29,18.8,1.0,1.0,15.03,40.31,349.96,902.41,-552.45,-109,64,-16,-199,0.53,180.0,0.0,88.31
1-22_2nd,normal,13200,13290,3,1712.88,15.19,17.9,1.0,1.0,34.21,36.12,1351.64,1593.35,-241.71,10,17,391,137,0.86,170.4,0.0,39.59
1-22_2nd,normal,12467,12508,3,4695.76,12.05,19.01,4.0,2.83,18.03,35.36,482.08,760.23,-278.15,21,84,-280,136,0.02,177.44,66.8,148.55
1-22_2nd,normal,12831,12964,3,2126.65,14.51,19.45,1.0,1.41,34.01,72.34,1915.04,2566.78,-651.74,148,39,142,13,0.59,180.0,0.0,74.58
1-22_2nd,normal,12549,12649,3,3711.58,15.16,17.33,2.0,3.0,25.02,33.38,1501.19,1715.52,-214.33,190,186,-147,56,0.42,180.0,0.0,96.47
1-22_2nd,normal,12766,12805,3,1661.06,15.9,15.6,0.0,4.47,32.56,27.02,604.09,592.83,11.26,-236,-34,552,74,0.21,178.02,30.42,128.57
1-22_2nd,normal,8649,8684,3,3141.47,17.44,30.83,5.66,10.0,30.59,54.23,592.92,1048.3,-455.38,-63,-25,-399,137,0.0,180.0,106.02,154.26
1-22_2nd,normal,7484,7545,3,2690.34,22.71,31.44,5.83,4.47,66.03,90.02,1362.54,1886.1,-523.56,-1055,-104,-55,-60,0.66,174.04,1.15,76.24
1-22_2nd,normal,11893,11942,3,2281.89,30.54,8.99,8.54,1.0,54.15,25.06,1465.72,431.6,1034.12,-68,-143,324,-87,0.39,177.86,2.81,112.96
1-22_2nd,normal,8670,8756,3,3013.45,16.53,17.97,2.83,4.0,33.14,35.13,1405.42,1527.06,-121.64,-146,-19,515,-2,0.21,180.0,2.29,129.7
