VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,normal,584,690,3,645.52,19.0,23.08,0.0,0.0,113.76,193.0,1994.52,2423.65,-429.13,-69,-109,-148,-190,0.47,180.0,0.0,80.55
1-14,normal,1645,1682,3,835.21,27.0,42.61,5.83,6.08,165.95,209.29,971.88,1533.97,-562.09,677,-286,852,-301,0.7,178.85,0.0,62.89
1-14,normal,24401,24504,3,1670.34,20.49,20.61,0.0,3.16,58.03,75.43,2089.93,2102.66,-12.73,38,54,428,85,0.53,180.0,1.15,87.96
1-14,normal,18168,18196,3,1734.85,15.95,15.86,9.22,3.61,36.06,27.29,430.71,428.12,2.59,423,-39,-192,-42,0.32,178.6,21.64,121.28
1-14,normal,3012,3030,3,692.2,15.25,11.31,3.0,6.32,30.59,23.41,259.19,192.24,66.95,-43,124,125,23,0.78,145.98,2.56,64.41
1-14,normal,10121,10165,3,1289.57,17.31,23.22,5.83,5.66,35.06,47.1,744.19,998.36,-254.17,396,102,154,-3,0.14,180.0,11.68,135.6
1-14,normal,7131,7200,3,1224.02,13.08,10.17,1.0,2.0,72.69,22.14,889.52,691.85,197.67,715,-21,551,9,0.8,168.46,0.0,38.36
1-14,normal,14913,14955,3,2706.46,15.78,25.58,3.61,2.24,28.02,54.92,647.06,1048.6,-401.54,102,39,-473,455,0.6,177.08,0.0,70.25
1-14,normal,15022,15099,3,2075.81,22.3,26.96,2.24,1.0,63.29,81.05,1694.76,2049.0,-354.24,-145,-59,-115,256,0.69,180.0,3.44,71.83
1-14,normal,3626,3649,3,530.55,14.75,12.56,2.0,1.0,54.82,84.72,324.54,276.43,48.11,120,161,-21,-54,0.43,180.0,0.0,74.28
1-14,normal,19795,19852,3,3228.56,22.12,12.01,3.61,1.0,49.04,31.89,1238.84,672.8,566.04,283,-25,-452,250,0.46,176.66,7.02,86.72
1-14,normal,3581,3591,3,146.53,12.31,29.03,0.0,1.0,74.53,112.45,110.81,261.26,-150.45,90,23,55,-7,0.4,150.95,0.0,71.7
1-14,normal,20425,20467,3,2128.77,9.01,18.77,1.41,4.0,20.02,45.69,369.3,769.39,-400.09,309,-14,294,-41,0.52,178.85,0.81,82.48
